Local_ID,Grade_Level,Raw_Eth_Race,Num_Eth_Race,Eth_W,Eth_H,Eth_B,Eth_O,Economic_Disadvantage,English_Learner,Special_Ed,Gifted_Talented,Number_Discipline_Incidents,YN_Discipline,Num_Gender,Num_Campus_Name,CheetoMS1,PizzaMS2,TunaMS3,MustardMS4,WatermelonMS5,Math_Avg,ELA_Avg,Math_Pass,ELA_Pass
1,8,T,5,0,0,0,1,1,0,1,0,1,1,0,5,0,0,0,0,1,71.5,69.5,1,0
2,8,H,2,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,70,75.5,1,1
3,8,W,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,87,82,1,1
4,8,H,2,0,1,0,0,0,0,1,0,3,1,0,1,1,0,0,0,0,69.5,70.5,0,1
5,8,W,1,1,0,0,0,1,0,0,1,3,1,0,1,1,0,0,0,0,70,72.5,1,1
6,8,B,3,0,0,1,0,1,0,0,0,1,1,0,5,0,0,0,0,1,79,72.5,1,1
7,8,W,1,1,0,0,0,1,0,1,0,2,1,1,1,1,0,0,0,0,81.5,76,1,1
8,8,H,2,0,1,0,0,1,1,0,0,1,1,0,4,0,0,0,1,0,70,69,1,0
9,8,W,1,1,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,73.5,73,1,1
10,8,H,2,0,1,0,0,1,1,0,0,1,1,1,4,0,0,0,1,0,50.5,73,0,1
11,8,H,2,0,1,0,0,1,0,0,0,2,1,1,4,0,0,0,1,0,64,83,0,1
12,8,H,2,0,1,0,0,1,1,1,0,1,1,0,4,0,0,0,1,0,79,76.5,1,1
13,8,W,1,1,0,0,0,0,0,1,0,5,1,1,4,0,0,0,1,0,64,79.5,0,1
14,8,H,2,0,1,0,0,0,0,0,0,3,1,1,4,0,0,0,1,0,50,68.5,0,0
15,8,B,3,0,0,1,0,0,0,1,0,3,1,0,4,0,0,0,1,0,74.5,76,1,1
16,8,H,2,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,79,81.5,1,1
17,8,W,1,1,0,0,0,1,0,1,0,6,1,1,2,0,1,0,0,0,76.5,79,1,1
18,8,H,2,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,85.5,82.5,1,1
19,8,H,2,0,1,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,72,71.5,1,1
20,6,A,4,0,0,0,1,0,0,1,0,2,1,0,4,0,0,0,1,0,72,76.5,1,1
21,8,H,2,0,1,0,0,1,1,0,0,1,1,1,2,0,1,0,0,0,70,78.5,1,1
22,8,H,2,0,1,0,0,1,0,1,0,12,1,0,2,0,1,0,0,0,78,76.5,1,1
23,6,H,2,0,1,0,0,1,0,1,0,10,1,0,2,0,1,0,0,0,77.5,81,1,1
24,7,T,5,0,0,0,1,1,0,0,0,6,1,1,2,0,1,0,0,0,78,77.5,1,1
25,8,W,1,1,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0,0,75,74.5,1,1
26,8,W,1,1,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,85.5,86.5,1,1
27,8,W,1,1,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0,0,73,83,1,1
28,8,B,3,0,0,1,0,1,0,0,0,2,1,1,4,0,0,0,1,0,56.5,84.5,0,1
29,8,W,1,1,0,0,0,0,0,0,0,5,1,0,3,0,0,1,0,0,54,68.5,0,0
30,8,W,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,70.5,77,1,1
31,8,T,5,0,0,0,1,0,0,0,0,1,1,0,5,0,0,0,0,1,98,88.5,1,1
32,8,W,1,1,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,77,79,1,1
33,8,W,1,1,0,0,0,0,0,0,0,3,1,0,5,0,0,0,0,1,70,78,1,1
34,8,H,2,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,76,74.5,1,1
35,8,W,1,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,65,80,0,1
36,8,W,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,87,86,1,1
37,8,I,6,0,0,0,1,0,0,0,0,1,1,0,3,0,0,1,0,0,78.5,71.5,1,1
38,8,W,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,77.5,79.5,1,1
39,8,W,1,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,75,81.5,1,1
40,8,W,1,1,0,0,0,0,0,1,0,3,1,1,1,1,0,0,0,0,88.5,76,1,1
41,8,W,1,1,0,0,0,0,0,0,0,4,1,0,4,0,0,0,1,0,74,84,1,1
42,8,W,1,1,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,50,72,0,1
43,8,W,1,1,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,75.5,73,1,1
44,8,W,1,1,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,82.5,90,1,1
45,8,W,1,1,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,77,88.5,1,1
46,8,T,5,0,0,0,1,0,0,0,1,2,1,0,3,0,0,1,0,0,78.5,78.5,1,1
47,8,H,2,0,1,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,79.5,86.5,1,1
48,7,H,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,90.5,89.5,1,1
49,8,H,2,0,1,0,0,0,0,1,0,1,1,0,5,0,0,0,0,1,65.5,55.5,0,0
50,8,H,2,0,1,0,0,0,0,1,0,3,1,0,5,0,0,0,0,1,66,63,0,0
51,7,W,1,1,0,0,0,1,0,0,0,1,1,0,3,0,0,1,0,0,78.5,73.5,1,1
52,8,W,1,1,0,0,0,0,0,0,0,5,1,1,2,0,1,0,0,0,62,67.5,0,0
53,8,W,1,1,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,72,83.5,1,1
54,8,W,1,1,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,75,77,1,1
55,8,W,1,1,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,76,79,1,1
56,8,W,1,1,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,65,78,0,1
57,8,W,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,80,85.5,1,1
58,7,W,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,84,75.5,1,1
59,7,W,1,1,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,87,82.5,1,1
60,7,B,3,0,0,1,0,0,1,0,0,1,1,0,2,0,1,0,0,0,84,77,1,1
61,7,A,4,0,0,0,1,0,0,1,0,2,1,0,3,0,0,1,0,0,76.5,81.5,1,1
62,8,W,1,1,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,1,77.5,74.5,1,1
63,8,W,1,1,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,68,79,0,1
64,6,W,1,1,0,0,0,1,0,1,0,3,1,0,2,0,1,0,0,0,61.5,70.5,0,1
65,8,W,1,1,0,0,0,0,0,1,0,2,1,0,4,0,0,0,1,0,66.5,76,0,1
66,8,W,1,1,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,73,77,1,1
67,7,H,2,0,1,0,0,1,1,0,0,10,1,0,2,0,1,0,0,0,71.5,59.5,1,0
68,8,H,2,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,95.5,94.5,1,1
69,8,W,1,1,0,0,0,0,0,0,1,1,1,0,3,0,0,1,0,0,72,80.5,1,1
70,8,H,2,0,1,0,0,0,0,1,0,1,1,0,3,0,0,1,0,0,73,82.5,1,1
71,7,H,2,0,1,0,0,1,1,0,0,3,1,0,2,0,1,0,0,0,75.5,63,1,0
72,7,W,1,1,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,78.5,76.5,1,1
73,8,W,1,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,58.5,71,0,1
74,8,W,1,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,1,0,92.5,89,1,1
75,8,W,1,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,68.5,77.5,0,1
76,8,W,1,1,0,0,0,0,0,0,0,3,1,0,4,0,0,0,1,0,74.5,85,1,1
77,8,W,1,1,0,0,0,1,0,0,0,2,1,0,4,0,0,0,1,0,91.5,86,1,1
78,8,W,1,1,0,0,0,0,0,0,0,2,1,0,4,0,0,0,1,0,68.5,82,0,1
79,7,W,1,1,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,81,76.5,1,1
80,8,T,5,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,0,70,75.5,1,1
81,7,W,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,73.5,68,1,0
82,8,W,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,76.5,83,1,1
83,7,W,1,1,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,72,72.5,1,1
84,8,W,1,1,0,0,0,0,0,1,0,1,1,0,5,0,0,0,0,1,72,72,1,1
85,8,W,1,1,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,79.5,75,1,1
86,8,W,1,1,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,84,72.5,1,1
87,8,B,3,0,0,1,0,1,0,1,0,1,1,0,2,0,1,0,0,0,69.5,80.5,0,1
88,8,W,1,1,0,0,0,1,0,0,0,4,1,1,2,0,1,0,0,0,61,62.5,0,0
89,8,W,1,1,0,0,0,1,0,0,0,1,1,0,3,0,0,1,0,0,74.5,79.5,1,1
90,8,W,1,1,0,0,0,1,0,0,0,3,1,0,2,0,1,0,0,0,76,67,1,0
91,8,W,1,1,0,0,0,1,0,1,0,8,1,1,2,0,1,0,0,0,66,72,0,1
92,8,W,1,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,71.5,80,1,1
93,8,W,1,1,0,0,0,0,0,1,0,2,1,1,4,0,0,0,1,0,59,81,0,1
94,7,H,2,0,1,0,0,0,1,1,0,1,1,0,2,0,1,0,0,0,68.5,72.5,0,1
