"","Grade_Level","Raw_Eth_Race","Num_Eth_Race","Eth_W","Eth_H","Eth_B","Eth_O","Economic_Disadvantage","English_Learner","Special_Ed","Gifted_Talented","Number_Discipline_Incidents","YN_Discipline","Num_Gender","Num_Campus_Name","CheetoMS1","PizzaMS2","TunaMS3","MustardMS4","WatermelonMS5","ELA_Avg","Math_Pass","ELA_Pass"
"934",8,"W",1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,94,1,1
"3545",6,"H",2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,84,1,1
"2894",7,"H",2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,86,1,1
"848",8,"W",1,1,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,89.5,1,1
"4761",6,"W",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,83,1,1
"4758",8,"B",3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,79,1,1
"652",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,81,1,1
"4202",6,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,78.5,1,1
"2359",7,"T",5,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,91,1,1
"2772",6,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,92.5,1,1
"2785",7,"W",1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,89,1,1
"1204",7,"W",1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,77.5,1,1
"3830",6,"H",2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,87,1,1
"911",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,89,1,1
"2041",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,93.5,1,1
"4296",7,"B",3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,73.5,1,1
"4914",6,"H",2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,91.5,1,1
"1137",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,89.5,1,1
"2238",6,"W",1,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,90,1,1
"378",8,"W",1,1,0,0,0,0,0,1,0,8,1,0,1,1,0,0,0,0,63.5,1,0
"3329",8,"W",1,1,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,1,71,0,1
"1949",7,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,87.5,1,1
